Merta ,111,INDIRA DEVI,Rashtriya Loktantrik Party,LAXMAN RAM MEGHWAL,Independent,12835                                             ,Result Declared,SUKHARAM,Bharatiya Janata Party,35549
Mundawar,61,MANJEET DHARAMPAL CHOUDHARY,Bharatiya Janata Party,LALIT YADAV,Bahujan Samaj Party,17602                                             ,Result Declared,DHARAM PAL CHOUDHARY,Bharatiya Janata Party,29417
Nadbai ,74,JOGINDER SINGH AWANA,Bahujan Samaj Party,KRISHNENDRA KAUR (DEEPA),Bharatiya Janata Party,4094                                              ,Result Declared,KRISHNENDRA KAUR (DEEPA),Bharatiya Janata Party,14556
Nagar,71,WAJIB ALI,Bahujan Samaj Party,NEM SINGH,Samajwadi Party,25467                                             ,Result Declared,ANITA,Bharatiya Janata Party,8113
NAGAUR,109,MOHAN RAM CHOUDHARY,Bharatiya Janata Party,HABIBUR REHMAN ASHRAFI LAMBA,Indian National Congress,13008                                             ,Result Declared,HABIBUR RAHMAN ASHRAFI LAMBA,Bharatiya Janata Party,5855
Nasirabad,102,RAMSWAROOP LAMBA,Bharatiya Janata Party,RAMNARAIN,Indian National Congress,16684                                             ,Result Declared,SANWAR LAL,Bharatiya Janata Party,28900
Nathdwara,176,C. P. JOSHI,Indian National Congress,MAHESH PRATAP SINGH,Bharatiya Janata Party,16940                                             ,Result Declared,KALYANSINGH CHOUHAN,Bharatiya Janata Party,12472
Nawalgarh,29,DR. RAJKUMAR SHARMA,Indian National Congress,RAVI SAINI,Bharatiya Janata Party,36500                                             ,Result Declared,DR. RAJKUMAR SHARMA,Independent,33566
Nawan,115,MAHENDRA CHOUDHARY,Indian National Congress,VIJAY SINGH,Bharatiya Janata Party,2256                                              ,Result Declared,VIJAY SINGH,Bharatiya Janata Party,29779
Neem ka Thana,38,SURESH MODI,Indian National Congress,PREM SINGH BAJORE,Bharatiya Janata Party,12615                                             ,Result Declared,PREM SINGH BAJOR,Bharatiya Janata Party,34202
Nimbahera,170,ANJANA UDAILAL,Indian National Congress,SHRICHAND KRIPLANI,Bharatiya Janata Party,11908                                             ,Result Declared,SHRICHAND KRIPLANI,Bharatiya Janata Party,3370
Niwai ,95,PRASHANT BAIRWA,Indian National Congress,RAM SAHAY VERMA,Bharatiya Janata Party,43889                                             ,Result Declared,HIRA LAL,Bharatiya Janata Party,5936
Nohar,10,AMIT CHACHAN,Indian National Congress,ABHISHEK MATORIA,Bharatiya Janata Party,13727                                             ,Result Declared,ABHISHEK MATORIA,Bharatiya Janata Party,26951
Nokha,18,BIHARILAL,Bharatiya Janata Party,RAMESHWAR DUDI,Indian National Congress,8663                                              ,Result Declared,RAMESHWAR LAL DUDI,Indian National Congress,30794
Osian,125,DIVYA MADERNA,Indian National Congress,BHERA RAM CHOUDHARY,Bharatiya Janata Party,27590                                             ,Result Declared,BHAIRA RAM CHOUDHARY,Bharatiya Janata Party,15396
Pachpadra,137,MADAN PRAJAPAT,Indian National Congress,AMARA RAM,Bharatiya Janata Party,2395                                              ,Result Declared,AMRA RAM,Bharatiya Janata Party,23237
Pali,118,GYANCHAND PARAKH,Bharatiya Janata Party,BHEEMRAJ BHATI,Independent,19386                                             ,Result Declared,GYANCHAND PARAKH,Bharatiya Janata Party,13673
Parbatsar,114,RAMNIWAS GAWRIYA,Indian National Congress,MAN SINGH KINSARIYA,Bharatiya Janata Party,14485                                             ,Result Declared,MANSINGH KINSARIYA,Bharatiya Janata Party,16298
